TC_id,FlyGeneOrtholog
TC000328,nla
TC000329,CG8654
TC000330,CG8925
TC000331,CG1104
TC000333,CG5268
TC000334,CG9361
TC000335,CG3304
TC000336,CG7365
TC000337,CG7365
TC000350,CG11881
TC000355,CG3446
TC000356,CG7696
TC000357,CG13607
TC000358,CG6129
TC000359,CG6302
TC000360,CG4781
TC000361,Optix
TC000365,CG10932
TC000366,CG8291
TC000367,CG3822
TC000368,eyc
TC000369,CG8541
TC000373,CG4679
TC000374,CG17274
TC000375,CG1420
TC000376,CG8040
TC000377,wds
TC000378,CG6372
TC000379,CG9443
TC000380,CG3353
TC000381,poly-U-binding-splicing-factor
TC000382,CG4527
TC000383,zinc-finger-motif-protein
TC000384,EG:115C2.11
TC000385,hep
TC000387,CG5534
TC000388,CG3136
TC000389,zinc-finger-motif-protein
TC000390,CG10268
TC000391,BcDNA:LD21719
TC000393,CG3168
TC000394,nAcRbeta-96A
TC000395,CG3253
TC000396,CG5038
TC000399,Mvl
TC000401,CG7749
TC000402,CG2183
TC000403,CG1673
TC000404,CG10165
TC000405,CG1364
TC000407,CG12114
TC000408,CG3684
TC000410,CG15564
TC000411,Cyp304a1
TC000412,Abi
TC000413,CG1964
TC000414,CG1964
TC000415,CG3726
TC000418,CG11791
TC000419,CG5736
TC000422,CG7086
TC000423,sli
TC000424,CG11085
TC000426,Pbprp1
TC000427,CG12936
TC000430,Pk92B
TC000431,CG5023
TC000432,CG14259
TC000434,CG7636
TC000438,CG4468
TC000439,CG4330
TC000440,CG15544
TC000441,tll
TC000442,CG12045
TC000443,eff
TC000444,CG6178
TC000446,CG7530
TC000449,Sap-r
TC000451,CG3563
TC000453,CG7630
TC000456,CG1017
TC000457,CG18596
TC000458,CG8282
TC000459,CG8468
TC000460,Mct1
TC000461,CG12858
TC000462,Oscp
TC000463,CG9000
TC000466,BcDNA:GM14838
TC000467,CG11242
TC000468,CG4546
TC000469,CG8988
TC000470,CG8991
TC000474,CG8888
TC000475,Rep1
TC000476,Fer1HCH
TC000477,CG1785
TC000478,CG9799
TC000480,CG5890
TC000481,CG11107
TC000482,CG14544
TC000483,CG18599
TC000484,Su(fu)
TC000485,CG5857
TC000486,CG5793
TC000487,Hsc70-5
TC000494,CG9733
TC000495,CG3066
TC000496,ea
TC000497,BEST:GH02921
TC000498,ea
TC000502,CG13030
TC000503,EG:EG0007.11
TC000504,CG3251
TC000505,Pen
TC000506,CG12892
TC000507,CG13924
TC000508,protoporphyrinogen-oxidase
TC000509,CG5454
TC000511,CG5630
TC000514,CG10375
TC000520,spz
TC000521,CG14257
TC000522,CG10065
TC000524,CG7007
TC000525,CG5336
TC000527,CG9876
TC000528,CG3342
TC000529,wapl
TC000530,Prat
TC000531,myotubularin
TC000532,CG17255
TC000533,P5cr
TC000534,P5cr
TC000535,CG5333
TC000536,CG5333
TC000537,CG6453
TC000538,Crag
TC000539,CG10435
TC000540,CG2543
TC000542,ESTS:39C10S
TC000543,EG:133E12.2
TC000544,CG14886
TC000545,CG18735
TC000546,CG11836
TC000547,CG4914
TC000548,CG18735
TC000549,Fad
TC000550,CG7432
TC000551,CG13616
TC000552,CG13616
TC000553,CG14720
TC000554,CG14116
TC000555,CG14116
TC000557,CG18609
TC000558,CG4096
TC000560,CG12908
TC000561,CG4630
TC000562,CG5308
TC000565,BcDNA:GH07643
TC000567,CG3223
TC000568,Cbp80
TC000569,Cbp80
TC000570,CG8798
TC000571,CG3141
TC000572,CG14714
TC000573,CG2509
TC000574,CG18741
TC000575,CG4639
TC000576,CG8154
TC000577,CG15218
TC000578,CG17952
TC000581,Rho1
TC000582,Cdc42
TC000583,CG9413
TC000584,CG12320
TC000585,CG6006
TC000586,CG2093
TC000587,CG14301
TC000588,CG14304
TC000589,fru
TC000590,CG8863
TC000591,sba
TC000592,CG13326
TC000593,timeout
TC000595,CG8483
TC000596,CG8483
TC000598,CG8483
TC000599,CG8483
TC000600,CG8483
TC000601,CG8483
TC000602,CG8483
TC000603,CG2774
TC000606,trr
TC000607,CG11060
TC000608,CG11284
TC000609,CG14411
TC000610,Mocs1
TC000611,CG3823
TC000612,CG5377
TC000613,CG10055
TC000614,Prosalpha1
TC000615,CG4041
TC000616,CG2827
TC000617,Fdxh
TC000618,CG11375
TC000619,CG15881
TC000620,Pi3K59F
TC000621,Srp19
TC000625,CG9562
TC000626,mal
TC000627,CHORD
TC000631,Orc2
TC000632,CG9924
TC000634,Galpha49B
TC000635,CG14892
TC000636,Amyrel
TC000637,CG18730
TC000638,Amy-d
TC000640,CG5160
TC000641,betaCop
TC000642,CG10841
TC000643,chp
TC000664,CG3344
TC000665,CG3344
TC000666,CG3344
TC000667,CG11839
TC000668,CG14515
TC000669,CG9813
TC000673,CG13204
TC000675,CG5191
TC000676,CG7910
TC000677,CG7376
TC000678,CG1941
TC000679,CG1942
TC000680,CG1941
TC000681,CG1941
TC000682,CG1942
TC000683,CG1941
TC000684,l(2)01289
TC000685,jar
TC000686,Gs1l
TC000687,CG6070
TC000688,Gpdh
TC000689,CG18172
TC000693,noc
TC000699,CG11162
TC000701,CG11320
TC000706,CG13289
TC000707,CG7275
TC000708,CG5844
TC000710,CG13889
TC000711,CG17691
TC000713,CG1383
TC000714,CG18812
TC000715,CG18813
TC000717,CG9843
TC000719,Ccp84Ag
TC000720,Ccp84Ag
TC000721,Ccp84Ad
TC000722,Ccp84Ad
TC000723,Ccp84Ag
TC000724,Ccp84Ag
TC000725,Ccp84Ag
TC000728,Or94a
TC000729,Or2a
TC000730,Or49b
TC000731,Or94b
TC000732,Or33a
TC000733,CG1213
TC000737,ppan
TC000739,CG6359
TC000740,snk
TC000741,CG15543
TC000742,CG14325
TC000743,CG14325
TC000745,EG:22E5.9
TC000746,CG4621
TC000747,CG1643
TC000748,brk
TC000749,alpha-Spec
TC000750,CG14209
TC000751,pxt
TC000753,Scp2
TC000754,BcDNA:LD19727
TC000755,CG5195
TC000756,CG7896
TC000757,alpha-Est7
TC000758,CG1120
TC000759,CG12006
TC000760,CG9460
TC000761,CG14205
TC000764,CG11318
TC000766,CG7783
TC000767,EG:100G10.5
TC000768,CG13098
TC000770,CG17143
TC000771,CG8067
TC000779,CG7872
TC000780,CG8516
TC000781,CG5864
TC000782,CG5875
TC000784,CG13142
TC000790,CG6144
TC000791,CG13315
TC000792,CG3744
TC000793,CG5946
TC000795,CG10648
TC000797,rdgA
TC000798,CG1961
TC000799,CG1961
TC000800,CG4837
TC000801,CG2503
TC000802,y
TC000803,CG6414
TC000804,CG10175
TC000805,CG15930
TC000806,CG5676
TC000807,CG12876
TC000808,TepIII
TC000811,BG:DS09217.4
TC000812,BG:DS09217.4
TC000815,CG3168
TC000816,CG6529
TC000817,CG6529
TC000818,CG6529
TC000819,CG6529
TC000820,CG6529
TC000821,CG3759
TC000822,gl
TC000823,CG8257
TC000824,EG:84H4.1
TC000825,pit
TC000827,how
TC000828,EG:22E5.9
TC000829,CG7432
TC000830,CG10830
TC000831,Ark
TC000832,CG14821
TC000833,CG10231
TC000834,CG10231
TC000835,CG9373
TC000836,CG15637
TC000837,Sp1
TC000838,CG1074
TC000840,wdn
TC000841,Or33a
TC000842,Or33b
TC000843,Or85d
TC000844,CG2862
TC000845,CG12122
TC000846,Or94a
TC000847,CG7717
TC000848,CG1730
TC000849,CG7351
TC000850,CG1730
TC000851,Ccp84Ag
TC000853,CG6240
TC000854,dlg1
TC000855,dlg1
TC000856,Cyp6a2
TC000861,CG11320
TC000863,CG11320
TC000865,CG11320
TC000868,elB
TC000870,ndl
TC000871,SP1070
TC000872,CG11184
TC000873,CG1750
TC000874,Vha14
TC000875,CG8946
TC000876,cn
TC000877,CG6854
TC000880,CG7958
TC000881,CG17789
TC000882,CG11590
TC000885,CG14510
TC000886,BcDNA:LD21537
TC000887,CG3344
TC000889,Abd-B
TC000894,abd-A
TC000903,Ubx
TC000912,Antp
TC000916,Scr
TC000917,Scr
TC000920,Dfd
TC000921,zen2
TC000922,pb
TC000925,pb
TC000926,lab
TC000928,sqd
TC000929,rin
TC000930,BM-40/SPARC
TC000931,His2Av
TC000932,CG14721
TC000933,up
TC000935,CG7708
TC000936,Amy-d
TC000937,Amy-d
TC000938,Amy-d
TC000939,Amy-d
TC000940,Amy-d
TC000941,Amyrel
TC000942,CG18730
TC000943,Amy-d
TC000944,Amyrel
TC000945,Cha
TC000946,Cha
TC000947,CG5343
TC000948,BcDNA:GH08773
TC000949,CG1841
TC000953,CG11866
TC000954,CG3350
TC000955,Moe
TC000956,Parg
TC000957,CG9011
TC000960,CG3752
TC000961,Mtl
TC000962,CG11790
TC000963,karyopherin-alpha1
TC000964,CG7381
TC000965,CG3893
TC000966,CG3893
TC000967,CG12065
TC000968,Rad21
TC000969,T-cp1
TC000971,HERC2
TC000972,CG12118
TC000973,CG18176
TC000974,CG5877
TC000975,CG8311
TC000976,CG12309
TC000977,CG6906
TC000979,CG15537
TC000980,CG16885
TC000981,Ace
TC000982,CG8483
TC000985,CG1738
TC000986,wds
TC000988,CG7082
TC000991,CG10019
TC000992,CG6666
TC000993,CG6666
TC000994,Pez
TC000995,CG6740
TC000996,CG14086
TC000997,CG9153
TC000998,Moe
TC001000,CG9093
TC001001,EG:49E4.1
TC001003,CG6284
TC001004,CG8332
TC001006,CG14707
TC001007,CG5291
TC001009,CG12816
TC001010,CG14720
TC001012,CG5291
TC001014,CG4096
TC001015,CG17780
TC001016,CG14116
TC001017,CG17782
TC001018,nAcRalpha-96Aa
TC001020,phtf
TC001023,CG4386
TC001024,Cng
TC001025,CG9353
TC001026,CG1657
TC001027,CG3566
TC001029,CG8369
TC001030,Kaz1
TC001031,Kaz1
TC001032,SAK
TC001033,CG6313
TC001034,noi
TC001035,sws
TC001036,fzr
TC001037,Ras85D
TC001038,CG12026
TC001039,CG7908
TC001040,CG8026
TC001041,Prp18
TC001042,BcDNA:GM12291
TC001043,CG8507
TC001044,EG:BACH7M4.1
TC001046,EG:BACH48C10.4
TC001048,Mlc1
TC001049,Mlc1
TC001050,CG5606
TC001051,CG5451
TC001052,crol
TC001054,spz
TC001056,NepYr
TC001057,CG6309
TC001058,CG11316
TC001059,CG18280
TC001060,CG14858
TC001061,CG7343
TC001062,CG3143
TC001064,CG17276
TC001065,CG5456
TC001066,CG6003
TC001067,CG6003
TC001068,CG10756
TC001069,dsf
TC001071,Jafrac2
TC001072,CG9198
TC001073,CG8258
TC001074,S6kII
TC001075,CG5987
TC001076,hdc
TC001081,hdc
TC001084,CG12001
TC001085,CG12746
TC001086,slmb
TC001087,CG5483
TC001088,CG4910
TC001089,Hlc
TC001090,CG14871
TC001091,CG9053
TC001092,Fer2LCH
TC001094,Ggamma1
TC001096,CG13182
TC001097,CG13191
TC001098,CG6719
TC001099,CG4287
TC001100,CG1796
TC001101,CG5800
TC001102,CG17762
TC001103,Su(var)3-9
TC001104,CG1401
TC001105,CG2669
TC001106,Glu-RA
TC001107,CG3885
TC001108,CG4792
TC001109,kst
TC001110,CG6504
TC001111,nmdyn-D6
TC001112,Ptx1
TC001115,CG12045
TC001116,CG8824
TC001118,CG15884
TC001119,CG6131
TC001120,CG8927
TC001121,CG6131
TC001124,CG9764
TC001125,CG14482
TC001126,CG15247
TC001128,CG4117
TC001129,CG3389
TC001132,CG6892
TC001135,CG3585
TC001136,Sodh-2
TC001137,Sodh-2
TC001138,Sodh-1
TC001139,Mp20
TC001141,CG13606
TC001142,CG8233
TC001143,CG4270
TC001144,CG13922
TC001145,CG8767
TC001146,raw
TC001148,CG12220
TC001149,CG13638
TC001150,CG10951
TC001151,CG14757
TC001152,CG14207
TC001154,CG15766
TC001157,CG3229
TC001159,Try29F
TC001160,CG9449
TC001161,CG9449
TC001162,CG9449
TC001164,CG13424
TC001165,CG4484
TC001166,CG7860
TC001167,CG6762
TC001169,Gasp
TC001170,CG9243
TC001171,CG5862
TC001172,CG14512
TC001173,CG5121
TC001174,CG6393
TC001175,CG13340
TC001177,CG8541
TC001179,CG11236
TC001180,CG13579
TC001181,CG11852
TC001182,CG10407
TC001183,CG13618
TC001185,CG3822
TC001186,CG13076
TC001187,CG14945
TC001189,Iap2
TC001192,Iap2
TC001193,in
TC001194,CG13090
TC001195,kraken
TC001197,Vang
TC001199,CG4370
TC001200,CG16908
TC001201,CG17556
TC001202,CG8954
TC001204,gro
TC001205,gro
TC001206,gro
TC001207,CG11360
TC001209,CG10611
TC001210,BcDNA:LD29885
TC001214,CG9393
TC001219,Sema-2a
TC001220,CG11975
TC001222,EG:BACR25B3.3
TC001223,CG8422
TC001224,Ip259
TC001225,RpS27A
TC001227,CG9919
TC001228,CG12286
TC001229,CG6126
TC001230,CG6126
TC001231,CG8831
TC001232,CG12632
TC001235,CG13175
TC001236,CG8447
TC001237,CG12855
TC001239,sev
TC001240,CG9088
TC001242,CG3173
TC001243,CG5127
TC001245,GRHR
TC001246,CG11775
TC001247,CG10407
TC001249,CG14341
TC001250,BcDNA:LD21719
TC001251,Cam
TC001252,CG13165
TC001253,Atpalpha
TC001254,CG14903
TC001255,CG3168
TC001256,CG17168
TC001257,CG8609
TC001258,CG5845
TC001259,CG5845
TC001260,CG5845
TC001261,CG5845
TC001262,CG5845
TC001263,CG14883
TC001268,CG3819
TC001270,kn
TC001271,Or23a
TC001272,Or2a
TC001273,Or22b
TC001275,Or2a
TC001276,CG2611
TC001277,CG11777
TC001278,CG13907
TC001280,CG3726
TC001281,RpS6
TC001282,CG10433
TC001287,CG4447
TC001289,CG4328
TC001291,CG10432
TC001292,CG10850
TC001293,CG4270
TC001296,CG17838
TC001297,CG17838
TC001300,CG5390
TC001301,CG5390
TC001302,CG5455
TC001303,CG15456
TC001309,CG4893
TC001310,CG6783
TC001311,CG14085
TC001313,Or59b
TC001314,Or10a
TC001315,Or94a
TC001316,CG14997
TC001317,CG4046
TC001320,insc
TC001321,Myo31DF
TC001322,Tim17
TC001323,CG11880
TC001324,CG10374
TC001325,CG8806
TC001326,CG1172
TC001327,CG3752
TC001328,CG12186
TC001329,CG9313
TC001330,CG1970
TC001334,CG12659
TC001336,CG8929
TC001338,CG1517
TC001339,CG9449
TC001340,CG9451
TC001341,CG15860
TC001346,CG7972
TC001347,CG8520
TC001348,CG1789
TC001349,CG14398
TC001350,Gasp
TC001351,CG11670
TC001352,CG14285
TC001355,CG18679
TC001356,CG5202
TC001357,CG8927
TC001358,CG6178
TC001359,janA
TC001360,alpha-Cat
TC001362,CG14516
TC001363,hh
TC001364,hh
TC001365,CG6693
TC001366,CG8470
TC001367,CG3132
TC001368,CG9092
TC001369,CG14507
TC001370,CG9006
TC001371,gro
TC001372,ck
TC001374,CG7777
TC001375,CG18501
TC001376,CG11318
TC001377,CG3931
TC001379,CG3262
TC001380,CG17645
TC001381,CG2114
TC001382,bif
TC001383,fzy
TC001384,CG8454
TC001386,CG15054
TC001387,CG17164
TC001392,Ring
TC001393,glaikit
TC001395,Lis1
TC001397,CG18665
TC001405,CG2485
TC001407,huntingtin
TC001408,Ack
TC001409,grp
TC001410,CG14446
TC001411,CG14446
TC001412,CG1213
TC001413,CG1213
TC001414,CG1213
TC001416,EG:63B12.2
TC001417,CG6431
TC001418,betaggt-II
TC001419,IKK
TC001420,CG1796
TC001425,CG17643
TC001426,CG2485
TC001428,CG2485
TC001430,IKK
TC001431,CG8109
TC001432,nAcRbeta-64B
TC001433,CG6454
TC001434,CG6432
TC001437,AP-47
TC001438,CG9977
TC001439,CG13176
TC001440,CG15013
TC001442,ken
TC001443,CG3774
TC001444,kls
TC001448,trh
TC001449,Sema-5c
TC001450,CG5938
TC001451,CG5934
TC001452,CG7846
TC001458,EG:BACR7A4.15
TC001459,brm
TC001461,CG5941
TC001462,Arf102F
TC001463,Arf102F
TC001464,p120ctn
TC001465,CG6437
TC001466,arouser
TC001467,CG2165
TC001470,R
TC001473,CG6913
TC001477,CG6755
TC001478,CG1359
TC001481,CG2485
TC001483,CG12579
TC001487,CG10185
TC001491,CG2485
TC001493,CG9839
TC001497,His3.3A
TC001498,CG12475
TC001500,CG12629
TC001501,CG3549
TC001502,CG18665
TC001503,CG18665
TC001504,CG18665
TC001506,CG12629
TC001507,CG18665
TC001508,CG18665
TC001509,CG12629
TC001510,CG6477
TC001511,Rab7
TC001512,kuz
TC001521,CG12478
TC001522,CG10046
TC001523,CG9577
TC001524,CG10652
TC001525,CG7183
TC001527,CG12109
TC001529,Doa
TC001533,CG12837
TC001541,Hem
TC001543,Apc
TC001544,CG4279
TC001546,Cyp9f2
TC001549,CG15813
TC001551,CG15813
TC001553,CG15813
TC001554,CG15813
TC001555,CG7879
TC001556,Pxn
TC001558,CG7654
TC001559,CG10155
TC001560,CG4639
TC001561,CG4942
TC001562,CG6178
TC001563,CG10590
TC001564,CG6154
TC001565,EG:95B7.7
TC001566,CG4332
TC001567,CG2682
TC001568,Tob
TC001570,EG:BACR7A4.5
TC001571,gcl
TC001572,CG2070
TC001573,CG10955
TC001574,tsr
TC001575,CG3618
TC001576,tap
TC001577,CG7331
TC001579,CG15813
TC001582,CG2812
TC001584,CG13203
TC001585,Ank
TC001590,CG8672
TC001592,TppII
TC001593,Hey
TC001594,CG18658
TC001600,Rab6
TC001601,CG5965
TC001602,bun
TC001604,CG7518
TC001606,CG2765
TC001607,CG8434
TC001609,vri
TC001611,CG8552
TC001612,G-oalpha65A
TC001613,CG5582
TC001616,a
TC001617,Ranbp9
TC001618,CG6543
TC001620,CG17184
TC001621,nonA-l
TC001622,CG8031
TC001623,CG16952
TC001624,CG6546
TC001629,CG9547
TC001630,CG1444
TC001631,Lap1
TC001632,a
TC001633,CG10366
TC001634,CG3714
TC001635,capt
TC001636,CG15359
TC001637,nkd
TC001638,CG7378
TC001639,kurtz-arrestin
TC001640,dlt
TC001642,CG17269
TC001643,CG9911
TC001645,CG18665
TC001646,CG18665
TC001648,CG2485
TC001652,CG12579
TC001653,cag
TC001654,CG5180
TC001655,CG18303
TC001659,CG9839
TC001664,CG18665
TC001666,CG14084
TC001667,if
TC001671,CG4759
TC001672,CG5966
TC001673,CG13442
TC001674,CG7761
TC001676,CG10082
TC001677,BcDNA:GH10646
TC001679,CG12629
TC001680,Osbp
TC001681,CG4364
TC001682,pelo
TC001683,Hira
TC001684,CG18289
TC001689,CG2485
TC001693,CG9219
TC001697,ari-2
TC001698,CG2493
TC001699,CG10849
TC001700,Jafrac1
TC001701,CG14965
TC001702,CG11212
TC001703,CG11212
TC001704,CG3709
TC001705,bnl
TC001706,CG18676
TC001707,CG15004
TC001708,CG15003
TC001709,CG11210
TC001710,CG14407
TC001711,CG5678
TC001712,CG13404
TC001713,Rap2l
TC001714,CG2226
TC001715,CG3413
TC001718,CG3380
TC001720,Hrb98DE
TC001722,svp
TC001724,lio
TC001725,Trn
TC001726,CG5369
TC001728,CG2485
TC001731,CG2485
TC001732,CG9843
TC001733,CG6443
TC001734,CG2485
TC001735,CG2485
TC001736,Hsf
TC001737,CG3626
TC001738,CG6963
TC001740,CG6417
TC001741,dve
TC001742,CG5819
TC001743,Gp150
TC001744,T3dh
TC001745,CG7071
TC001746,CG6590
TC001747,CG13957
TC001748,CG2292
TC001749,CG2292
TC001750,CG4792
TC001751,BcDNA:LD24639
TC001752,EG:8D8.3
TC001753,msl-2
TC001754,CG16708
TC001755,ben
TC001756,SsRbeta
TC001757,CG9773
TC001758,tipE
TC001759,CG7397
TC001760,bnl
TC001761,CG4662
TC001762,CG7085
TC001763,CG11339
TC001765,plexA
TC001766,CG10467
TC001767,CG14331
TC001769,Fim
TC001770,CG9307
TC001772,CG12393
TC001773,BcDNA:LD28419
TC001774,sina
TC001775,CG2380
TC001782,CG15054
TC001783,CG11370
TC001786,CG18352
TC001792,CG2485
TC001796,CG2485
TC001803,CG14709
TC001807,CG15054
TC001808,CG15054
TC001809,CG15054
TC001812,CG4859
TC001813,CG18665
TC001814,BcDNA:GH10120
TC001816,BcDNA:GH02220
TC001817,aur
TC001821,CG2485
TC001822,CG4715
TC001824,CG2485
TC001829,CG2485
TC001832,CG2485
TC001838,CG18288
TC001839,CG12757
TC001846,CG2485
TC001847,CG2485
TC001850,CG4903
TC001851,Ack
TC001858,CG2485
TC001862,CoVa
TC001865,CG18265
TC001866,CG1521
TC001867,CG7921
TC001872,CG8639
TC001873,CG5491
TC001874,CG14226
TC001877,vig
TC001878,CG10600
TC001879,CG6945
TC001880,Ef1alpha48D
TC001885,stg
TC001886,CG6180
TC001887,BG:DS07108.2
TC001888,ewg
TC001889,Nrg
TC001891,CG12629
TC001892,CG17479
TC001893,CG18257
TC001894,CG12629
TC001895,CG18665
TC001896,CG12629
TC001897,CG18665
TC001898,CG12629
TC001899,CG18665
TC001900,CG12629
TC001901,CG12629
TC001902,CG18665
TC001903,CG12629
TC001904,CG12629
TC001907,CG8948
TC001908,CG5390
TC001911,CG2485
TC001912,CG17402
TC001913,sp4
TC001916,Cyp306a1
TC001918,CG6294
TC001919,CG14022
TC001920,CG5105
TC001922,l(3)mbt
TC001923,CG11115
TC001925,CG10949
TC001933,CG9861
TC001934,CG11128
TC001935,CG5535
TC001936,CG5535
TC001937,EG:BACR7C10.7
TC001939,CG18665
TC001941,CG5535
TC001942,CG8269
TC001943,ial
TC001944,Pcmt
TC001945,CG5548
TC001946,CG9372
TC001947,Cyp18a1
TC001950,Cp1
TC001952,CG12629
TC001954,CG14064
TC001957,CG4135
TC001958,CG4135
TC001960,CG9356
TC001964,CG7134
TC001965,CG16868
TC001966,CG12704
TC001967,CG15621
TC001970,tos
TC001975,trn
TC001976,CG7896
TC001977,CG18522
TC001978,CG6045
TC001979,CG3135
TC001981,CG4861
TC001982,CG11525
TC001983,CG1407
TC001990,CG2485
TC001991,CG18665
TC001993,CG12629
TC001995,CG18665
TC001999,Hop
TC002000,BcDNA:LD26050
TC002002,BcDNA:LD26050
TC002003,cact
TC002004,CG9599
TC002006,CG17514
TC002008,CG2485
TC002009,CG2485
TC002015,CG18665
TC002016,CG18665
TC002017,CG12573
TC002025,CG18665
TC002027,CG18665
TC002030,CG18665
TC002031,CG18665
TC002033,CG18665
TC002035,CG5155
TC002039,CG18665
TC002041,CG18288
TC002052,Or22b
TC002053,Or22b
TC002054,CG11334
TC002055,CG7352
TC002056,Ugt35b
TC002057,Gdh
TC002058,Gdh
TC002059,CG11454
TC002060,CG2179
TC002061,CG11843
TC002064,Cg25C
TC002065,CG2551
TC002067,CG3306
TC002068,CG7285
TC002069,Transferrin
TC002070,CG8273
TC002071,spel1
TC002072,CG8037
TC002073,Hop
TC002074,CG17665
TC002075,CG14895
TC002076,CG4699
TC002077,CG2051
TC002078,CG14882
TC002080,CG10014
TC002082,CG1839
TC002083,CG6247
TC002084,BG:DS00797.4
TC002085,CG14470
TC002087,Ipp
TC002088,Mcm3
TC002089,Hsc70-4
TC002090,Pdh
TC002092,CG17988
TC002095,CG4805
TC002096,CG7979
TC002097,CG8286
TC002098,CG2099
TC002099,CG8312
TC002100,CG10277
TC002101,CG13941
TC002102,CG15072
TC002103,CG18665
TC002104,CG18352
TC002107,CG17698
TC002110,CG9843
TC002112,CG16705
TC002114,Alk
