Gene_ID,ODB7_OG_ID
TC001232,EOG70970H
TC003302,EOG70970N
TC006849,EOG70970P
TC006157,EOG70970Q
TC006158,EOG70970Q
TC013967,EOG70970Q
TC013968,EOG70970Q
TC013969,EOG70970Q
TC006078,EOG70970T
TC010517,EOG709718
TC009343,EOG70972V
TC002610,EOG70D35K
TC011380,EOG70D35N
TC008283,EOG70D35P
TC001452,EOG70D35V
TC012824,EOG70D35X
TC001866,EOG70D35Z
TC010764,EOG70D35Z
TC008130,EOG70D365
TC004120,EOG70D367
TC013753,EOG70D369
TC014442,EOG70D36C
TC013591,EOG70D36D
TC006850,EOG70D36G
TC000701,EOG70D36H
TC000861,EOG70D36H
TC000863,EOG70D36H
TC000865,EOG70D36H
TC004659,EOG70D36H
TC004955,EOG70D36H
TC004958,EOG70D36H
TC010786,EOG70D36H
TC010789,EOG70D36H
TC010860,EOG70D36H
TC014162,EOG70D36H
TC007654,EOG70D36J
TC013107,EOG70D36N
TC007594,EOG70D36V
TC007598,EOG70D36V
TC015589,EOG70D36W
TC005847,EOG70D36X
TC005848,EOG70D36X
TC005849,EOG70D36X
TC005860,EOG70D36X
TC005861,EOG70D36X
TC011559,EOG70D370
TC011560,EOG70D370
TC015171,EOG70D373
TC000123,EOG70D37B
TC003303,EOG70D37C
TC012901,EOG70D37D
TC012859,EOG70D37J
TC030692,EOG70D37K
TC009796,EOG70D37R
TC005912,EOG70D37T
TC011517,EOG70D38C
TC012883,EOG70D396
TC013406,EOG70D39R
TC009676,EOG70GZDK
TC009677,EOG70GZDK
TC009678,EOG70GZDK
TC008111,EOG70GZDM
TC000797,EOG70GZDP
TC008121,EOG70GZDR
TC000568,EOG70GZDS
TC013350,EOG70GZDT
TC009562,EOG70GZDV
TC013939,EOG70GZDW
TC010101,EOG70GZF2
TC011392,EOG70GZF3
TC001681,EOG70GZF5
TC002330,EOG70GZF5
TC010173,EOG70GZF6
TC004128,EOG70GZF8
TC009256,EOG70GZFB
TC009257,EOG70GZFB
TC010178,EOG70GZFC
TC007781,EOG70GZFG
TC003483,EOG70GZFN
TC013295,EOG70GZFN
TC001214,EOG70GZFP
TC009380,EOG70GZFQ
TC015931,EOG70GZFW
TC000433,EOG70GZFX
TC013325,EOG70GZG7
TC013563,EOG70GZGD
TC008991,EOG70GZGF
TC002108,EOG70GZGH
TC002196,EOG70GZGH
TC010509,EOG70GZGH
TC010690,EOG70GZGH
TC010998,EOG70GZGH
TC012984,EOG70GZGH
TC013642,EOG70GZGJ
TC006590,EOG70GZGP
TC011194,EOG70GZJQ
TC006898,EOG70KTNH
TC008527,EOG70KTNH
TC013010,EOG70KTNH
TC006019,EOG70KTNM
TC008784,EOG70KTNM
TC005855,EOG70KTNP
TC002239,EOG70KTNQ
TC012301,EOG70KTNT
TC012273,EOG70KTP0
TC009722,EOG70KTP7
TC010201,EOG70KTP9
TC002285,EOG70KTPB
TC011670,EOG70KTPC
TC011671,EOG70KTPC
TC004703,EOG70KTPJ
TC006746,EOG70KTPP
TC014638,EOG70KTPR
TC005938,EOG70KTPZ
TC016017,EOG70KTQG
TC011612,EOG70KTQQ
TC001026,EOG70PPWF
TC030745,EOG70PPWG
TC009838,EOG70PPWH
TC006450,EOG70PPWJ
TC013368,EOG70PPWK
TC008225,EOG70PPWR
TC003018,EOG70PPWT
TC001934,EOG70PPWW
TC001941,EOG70PPWW
TC030719,EOG70PPWX
TC014396,EOG70PPX1
TC003349,EOG70PPX4
TC006249,EOG70PPX5
TC013650,EOG70PPX6
TC014725,EOG70PPX8
TC012209,EOG70PPXD
TC015086,EOG70PPXF
TC000877,EOG70PPXG
TC011695,EOG70PPXK
TC014754,EOG70PPXP
TC003023,EOG70PPXQ
TC014640,EOG70PPXS
TC012482,EOG70PPXZ
TC015415,EOG70PPZ2
TC015709,EOG70PPZ5
TC011550,EOG70PPZ6
TC012019,EOG70PPZD
TC002646,EOG70PPZK
TC012148,EOG70PQ00
TC012868,EOG70PQ06
TC016051,EOG70PQ06
TC015132,EOG70SK4C
TC000618,EOG70SK4D
TC014538,EOG70SK4G
TC015173,EOG70SK4K
TC003365,EOG70SK4P
TC000769,EOG70SK4R
TC000805,EOG70SK4R
TC011399,EOG70SK4S
TC011920,EOG70SK4Z
TC014112,EOG70SK50
TC011089,EOG70SK51
TC002218,EOG70SK52
TC002219,EOG70SK52
TC007685,EOG70SK55
TC011978,EOG70SK5B
TC002530,EOG70SK5C
TC009732,EOG70SK5D
TC030663,EOG70SK5G
TC002888,EOG70SK5H
TC030620,EOG70SK5P
TC007133,EOG70SK5Q
TC011156,EOG70SK5S
TC008912,EOG70SK5X
TC002864,EOG70SK63
TC030655,EOG70SK66
TC003864,EOG70SK69
TC006168,EOG70SK6H
TC011122,EOG70SK72
TC013407,EOG70WFC7
TC000221,EOG70WFC8
TC004830,EOG70WFC9
TC001667,EOG70WFCB
TC000956,EOG70WFCF
TC007674,EOG70WFCG
TC001743,EOG70WFCH
TC008636,EOG70WFCK
TC015325,EOG70WFCN
TC015326,EOG70WFCN
TC000373,EOG70WFCQ
TC013371,EOG70WFCR
TC015329,EOG70WFCZ
TC000742,EOG70WFD1
TC000743,EOG70WFD1
TC014646,EOG70WFD1
TC008730,EOG70WFD3
TC009701,EOG70WFD3
TC009703,EOG70WFD3
TC002649,EOG70WFD8
TC001817,EOG70WFDC
TC001943,EOG70WFDC
TC011833,EOG70WFDD
TC007050,EOG70WFDG
TC015655,EOG70WFDH
TC000056,EOG70WFDJ
TC006199,EOG70WFDK
TC000522,EOG70WFDM
TC001854,EOG70WFDP
TC005264,EOG70WFDP
TC005289,EOG70WFDP
TC006002,EOG70WFDP
TC006959,EOG70WFDP
TC010982,EOG70WFDP
TC016185,EOG70WFDP
TC008437,EOG70WFDR
TC011763,EOG70WFDS
TC010094,EOG70WFDV
TC004148,EOG70WFF5
TC003531,EOG70WFG2
TC010606,EOG70WFG7
TC010989,EOG70WFG7
TC016202,EOG70WFG7
TC001476,EOG70WFH7
TC008022,EOG7109M9
TC012598,EOG7109MC
TC001747,EOG7109MD
TC009176,EOG7109MH
TC009177,EOG7109MH
TC009180,EOG7109MH
TC009624,EOG7109MH
TC009629,EOG7109MH
TC009872,EOG7109MH
TC010761,EOG7109MJ
TC003142,EOG7109MP
TC014642,EOG7109MT
TC009385,EOG7109MV
TC012529,EOG7109MW
TC012530,EOG7109MW
TC012531,EOG7109MW
TC013552,EOG7109MZ
TC003426,EOG7109N1
TC004378,EOG7109N2
TC005460,EOG7109N4
TC005600,EOG7109N9
TC009356,EOG7109NC
TC013189,EOG7109NF
TC014470,EOG7109NG
TC000824,EOG7109NJ
TC015662,EOG7109NP
TC030081,EOG7109P0
TC015945,EOG7109P3
TC006234,EOG7109P5
TC001945,EOG7109PD
TC011809,EOG7109PF
TC006283,EOG7109PG
TC011698,EOG7109PQ
TC001899,EOG7109PS
TC012961,EOG7109PS
TC014847,EOG7109PS
TC006954,EOG7109QH
TC010269,EOG7109QH
TC015636,EOG7135V6
TC015637,EOG7135V6
TC010839,EOG7135V7
TC013602,EOG7135V7
TC011197,EOG7135V8
TC009861,EOG7135V9
TC003802,EOG7135VB
TC005373,EOG7135VC
TC007204,EOG7135VD
TC006305,EOG7135VF
TC008844,EOG7135VK
TC006428,EOG7135VM
TC009118,EOG7135VN
TC030762,EOG7135VP
TC003433,EOG7135VS
TC014191,EOG7135VZ
TC010507,EOG7135W0
TC012432,EOG7135W0
TC008474,EOG7135W1
TC009258,EOG7135W5
TC001063,EOG7135W6
TC013702,EOG7135WB
TC001707,EOG7135WC
TC006924,EOG7135WF
TC010564,EOG7135WH
TC009515,EOG7135WJ
TC000361,EOG7135WM
TC011584,EOG7135WT
TC016223,EOG7135X2
TC003077,EOG7135X4
TC004377,EOG7135X6
TC013962,EOG7135XS
TC015604,EOG7135Z1
TC000119,EOG716231
TC015023,EOG716232
TC015024,EOG716232
TC010675,EOG716235
TC014648,EOG716236
TC012214,EOG716237
TC015410,EOG716238
TC007523,EOG716239
TC008659,EOG71623C
TC000112,EOG71623D
TC014393,EOG71623F
TC006102,EOG71623G
TC011263,EOG71623J
TC000973,EOG71623K
TC001916,EOG71623M
TC011607,EOG71623P
TC014153,EOG71623Q
TC014154,EOG71623Q
TC014157,EOG71623Q
TC015569,EOG71623Q
TC015570,EOG71623Q
TC015571,EOG71623Q
TC015572,EOG71623Q
TC010441,EOG71623R
TC004965,EOG71623S
TC004966,EOG71623S
TC004967,EOG71623S
TC004935,EOG71623V
TC006147,EOG71623W
TC012661,EOG716242
TC005573,EOG716243
TC005879,EOG71624D
TC013572,EOG71624G
TC008534,EOG71624V
TC010976,EOG71624X
TC001671,EOG716256
TC002140,EOG716259
TC030187,EOG716276
TC030195,EOG716276
TC008851,EOG718XB1
TC008852,EOG718XB1
TC015198,EOG718XB2
TC009201,EOG718XB4
TC008855,EOG718XB5
TC015113,EOG718XB6
TC006218,EOG718XB8
TC010881,EOG718XBC
TC008691,EOG718XBD
TC003689,EOG718XBF
TC007420,EOG718XBJ
TC009634,EOG718XBJ
TC009635,EOG718XBJ
TC009636,EOG718XBJ
TC007718,EOG718XBP
TC030324,EOG718XBQ
TC030326,EOG718XBQ
TC030327,EOG718XBQ
TC014410,EOG718XBS
TC011212,EOG718XBT
TC003716,EOG718XBW
TC012743,EOG718XBZ
TC001003,EOG718XC0
TC005922,EOG718XC1
TC015047,EOG718XC3
TC015832,EOG718XC3
TC007398,EOG718XC8
TC014973,EOG718XCB
TC013008,EOG718XCD
TC004927,EOG718XCG
TC006439,EOG718XCJ
TC004568,EOG718XCQ
TC014366,EOG718XCR
TC004382,EOG718XCS
TC008830,EOG718XCV
TC003939,EOG718XD3
TC009083,EOG718XD4
TC002595,EOG718XD5
TC003830,EOG718XD5
TC003831,EOG718XD5
TC003834,EOG718XD5
TC003835,EOG718XD5
TC004548,EOG718XD5
TC013126,EOG718XD5
TC013127,EOG718XD5
TC013128,EOG718XD5
TC013130,EOG718XD5
TC013131,EOG718XD5
TC013135,EOG718XD5
TC013138,EOG718XD5
TC013139,EOG718XD5
TC014720,EOG718XD5
TC014770,EOG718XD5
TC014771,EOG718XD5
TC003410,EOG718XDJ
TC012937,EOG718XFX
TC013942,EOG71CSK0
TC012762,EOG71CSK3
TC000308,EOG71CSK4
TC001278,EOG71CSK6
TC010113,EOG71CSK7
TC000449,EOG71CSK8
TC030778,EOG71CSKD
TC013670,EOG71CSKJ
TC001187,EOG71CSKK
TC007192,EOG71CSKM
TC015353,EOG71CSKN
TC008137,EOG71CSKR
TC010228,EOG71CSKT
TC003713,EOG71CSKZ
TC030764,EOG71CSM3
TC009413,EOG71CSM5
TC030763,EOG71CSM9
TC007505,EOG71CSMB
TC014436,EOG71CSMC
TC013923,EOG71CSMF
TC007212,EOG71CSMG
TC003198,EOG71CSMQ
TC009981,EOG71CSMS
TC003886,EOG71CSMW
TC008520,EOG71CSN3
TC009747,EOG71CSN4
TC006817,EOG71CSNQ
TC003609,EOG71CSNW
TC001985,EOG71CSQ4
TC016025,EOG71CSQ4
TC007813,EOG71GNSV
TC015954,EOG71GNSW
TC000573,EOG71GNSZ
TC015462,EOG71GNSZ
TC013601,EOG71GNT0
TC007761,EOG71GNT1
TC003094,EOG71GNT2
TC000275,EOG71GNT4
TC014946,EOG71GNT5
TC006696,EOG71GNT7
TC005983,EOG71GNT9
TC003322,EOG71GNTD
TC009516,EOG71GNTJ
TC010174,EOG71GNTK
TC001442,EOG71GNTM
TC014787,EOG71GNTT
TC014902,EOG71GNTW
TC008368,EOG71GNTZ
TC013701,EOG71GNV0
TC015168,EOG71GNV6
TC004174,EOG71GNV9
TC000746,EOG71GNVF
TC001710,EOG71GNVH
TC006240,EOG71GNVT
TC003085,EOG71GNW2
TC008674,EOG71GNW2
TC008676,EOG71GNW2
TC008677,EOG71GNW2
TC008678,EOG71GNW2
TC008679,EOG71GNW2
TC008680,EOG71GNW2
TC008681,EOG71GNW2
TC008682,EOG71GNW2
TC014531,EOG71GNW2
TC014532,EOG71GNW2
TC014534,EOG71GNW2
TC015902,EOG71GNW2
TC015950,EOG71GNW2
TC004886,EOG71GNW7
TC005836,EOG71GNWD
TC004456,EOG71GNWR
TC010548,EOG71GNZ0
TC001001,EOG71KJ1V
TC009867,EOG71KJ1W
TC008867,EOG71KJ1X
TC006701,EOG71KJ1Z
TC001467,EOG71KJ20
TC014404,EOG71KJ21
TC030716,EOG71KJ24
TC009331,EOG71KJ25
TC030771,EOG71KJ25
TC006048,EOG71KJ26
TC015411,EOG71KJ27
TC001878,EOG71KJ29
TC002242,EOG71KJ2C
TC016011,EOG71KJ2C
TC010516,EOG71KJ2D
TC010996,EOG71KJ2D
TC001466,EOG71KJ2F
TC007172,EOG71KJ2J
TC012122,EOG71KJ2K
TC012192,EOG71KJ2N
TC006652,EOG71KJ2T
TC011524,EOG71KJ2V
TC010438,EOG71KJ2W
TC003153,EOG71KJ2Z
TC015318,EOG71KJ32
TC011974,EOG71KJ3C
TC008421,EOG71KJ3D
TC001756,EOG71KJ3G
TC004653,EOG71KJ3J
TC000781,EOG71KJ3N
TC015974,EOG71KJ3P
TC012090,EOG71KJ3V
TC014878,EOG71KJ3W
TC016160,EOG71KJ47
TC016388,EOG71KJ47
TC005116,EOG71KJ49
TC005547,EOG71KJ49
TC016246,EOG71KJ4G
TC012357,EOG71KJ4H
TC015684,EOG71KJ4J
TC004018,EOG71PD8S
TC007589,EOG71PD8W
TC016085,EOG71PD8X
TC013569,EOG71PD8Z
TC005459,EOG71PD90
TC006673,EOG71PD94
TC030609,EOG71PD95
TC008712,EOG71PD96
TC009975,EOG71PD96
TC008123,EOG71PD97
TC009208,EOG71PD98
TC013255,EOG71PD99
TC002624,EOG71PD9C
TC008531,EOG71PD9D
TC014749,EOG71PD9G
TC001760,EOG71PD9H
TC009178,EOG71PD9J
TC009628,EOG71PD9J
TC006403,EOG71PD9N
TC000335,EOG71PD9R
TC000577,EOG71PD9T
TC006619,EOG71PD9V
TC009968,EOG71PD9X
TC004080,EOG71PDB0
TC002490,EOG71PDB1
TC005180,EOG71PDB2
TC008303,EOG71PDB4
TC001085,EOG71PDB5
TC011677,EOG71PDB8
TC011678,EOG71PDB8
TC015806,EOG71PDBS
TC015808,EOG71PDBS
TC013307,EOG71PDBV
TC014497,EOG71PDBV
TC014498,EOG71PDBV
TC014499,EOG71PDBV
TC014500,EOG71PDBV
TC000426,EOG71PDBW
TC008162,EOG71PDBW
TC009459,EOG71PDBW
TC009805,EOG71PDBW
TC010063,EOG71PDBW
TC010064,EOG71PDBW
TC010068,EOG71PDBW
TC010069,EOG71PDBW
TC011668,EOG71PDBW
TC004977,EOG71PDC0
TC008367,EOG71PDC4
TC001029,EOG71PDC9
TC007282,EOG71PDCC
TC002898,EOG71PDD3
TC002899,EOG71PDD3
TC015859,EOG71S8HN
TC007820,EOG71S8HQ
TC014568,EOG71S8HR
TC014774,EOG71S8HT
TC007440,EOG71S8HV
TC009185,EOG71S8J0
TC003454,EOG71S8J1
TC013868,EOG71S8J3
TC005597,EOG71S8J8
TC000159,EOG71S8J9
TC011049,EOG71S8JJ
TC008692,EOG71S8JN
TC007236,EOG71S8JQ
TC000793,EOG71S8JR
TC002956,EOG71S8JS
TC013515,EOG71S8K0
TC010155,EOG71S8K4
TC012663,EOG71S8K5
TC013219,EOG71S8KP
TC011941,EOG71S8KW
TC002773,EOG71S8NR
TC002408,EOG71W4RK
TC002274,EOG71W4RM
TC002276,EOG71W4RM
TC002278,EOG71W4RM
TC010527,EOG71W4RM
TC016282,EOG71W4RM
TC012433,EOG71W4RN
TC010824,EOG71W4RP
TC007435,EOG71W4RQ
TC010454,EOG71W4RR
TC013064,EOG71W4RT
TC009315,EOG71W4RV
TC004628,EOG71W4RW
TC013683,EOG71W4S0
TC000034,EOG71W4S2
TC004217,EOG71W4S2
TC010091,EOG71W4S2
TC015983,EOG71W4S2
TC000994,EOG71W4S3
TC007791,EOG71W4S6
TC001347,EOG71W4S7
TC005166,EOG71W4S8
TC000412,EOG71W4SD
TC014587,EOG71W4SF
TC000195,EOG71W4SK
TC005473,EOG71W4SM
TC008191,EOG71W4SN
TC010773,EOG71W4SR
TC013175,EOG71W4SS
TC010863,EOG71W4ST
TC003098,EOG71W4SV
TC014243,EOG71W4SW
TC001012,EOG71W4T2
TC004621,EOG71W4T2
TC009303,EOG71W4T2
TC009304,EOG71W4T2
TC012784,EOG71W4T2
TC011019,EOG71W4T3
TC011461,EOG71W4T3
TC008515,EOG71W4T4
TC010403,EOG71W4T5
TC012365,EOG71W4TC
TC005886,EOG71W4TK
TC005887,EOG71W4TK
TC006266,EOG71W4TK
TC030567,EOG71W4TM
TC030446,EOG71W4TX
TC013331,EOG71W4V0
TC012463,EOG71W4V2
TC010719,EOG71W4V8
TC013526,EOG71W4V9
TC002318,EOG71W4VH
TC016114,EOG71W4WJ
TC014773,EOG72010M
TC000254,EOG72010N
TC011056,EOG72010R
TC000240,EOG72010S
TC000368,EOG72010V
TC008879,EOG72010W
TC011305,EOG72010X
TC011169,EOG720111
TC011170,EOG720111
TC007635,EOG720113
TC009961,EOG720115
TC007193,EOG720117
TC008651,EOG720118
TC008652,EOG720118
TC007227,EOG720119
TC006334,EOG72011J
TC004398,EOG72011K
TC000334,EOG72011M
TC013110,EOG72011Q
TC000953,EOG72011T
TC012858,EOG72011V
TC013304,EOG720124
TC012341,EOG720125
TC010012,EOG72012D
TC001042,EOG72012H
TC004117,EOG72012H
TC001359,EOG72012V
TC009585,EOG720130
TC002971,EOG72014T
TC012309,EOG722W7D
TC012843,EOG722W7F
TC014075,EOG722W7G
TC014445,EOG722W7H
TC002816,EOG722W7N
TC000758,EOG722W7R
TC014402,EOG722W7S
TC007111,EOG722W7T
TC007500,EOG722W7V
TC005436,EOG722W7X
TC005437,EOG722W7X
TC005438,EOG722W7X
TC005439,EOG722W7X
TC005440,EOG722W7X
TC005441,EOG722W7X
TC005442,EOG722W7X
TC005443,EOG722W7X
TC005865,EOG722W7X
TC006631,EOG722W7X
TC006632,EOG722W7X
TC012753,EOG722W7Z
TC006370,EOG722W80
TC011990,EOG722W80
TC010820,EOG722W81
TC004151,EOG722W82
TC007652,EOG722W83
TC030592,EOG722W86
TC014882,EOG722W87
TC011518,EOG722W8D
TC012271,EOG722W8G
TC015951,EOG722W8G
TC012325,EOG722W8J
TC015728,EOG722W8N
TC015141,EOG722W8Q
TC016364,EOG722W8Q
TC001533,EOG722W8W
TC012489,EOG722W8W
TC011785,EOG722W8X
TC016304,EOG722W90
TC009512,EOG722W96
TC006472,EOG722W97
TC001317,EOG722W98
TC009936,EOG722W9B
TC009893,EOG722W9G
TC011669,EOG722W9K
TC001479,EOG722W9P
TC001829,EOG722W9P
TC010246,EOG722W9P
TC014830,EOG722W9P
TC001513,EOG722W9V
TC008775,EOG722W9X
TC001217,EOG722WCC
TC008109,EOG725RGC
TC030765,EOG725RGD
TC006501,EOG725RGF
TC005228,EOG725RGH
TC030652,EOG725RGJ
TC005914,EOG725RGK
TC005915,EOG725RGK
TC005916,EOG725RGK
TC005917,EOG725RGK
TC005918,EOG725RGK
TC005919,EOG725RGK
TC005920,EOG725RGK
TC000367,EOG725RGN
TC001185,EOG725RGN
TC011400,EOG725RGN
TC011401,EOG725RGN
TC012818,EOG725RGN
TC014487,EOG725RGN
TC030626,EOG725RGP
TC001440,EOG725RGQ
TC002669,EOG725RGQ
TC001575,EOG725RGR
TC000528,EOG725RGS
TC014903,EOG725RGW
TC006801,EOG725RGX
TC009308,EOG725RGZ
TC004695,EOG725RH2
TC002636,EOG725RH3
TC000632,EOG725RH5
TC005073,EOG725RH6
TC016034,EOG725RH8
TC012656,EOG725RHB
TC004980,EOG725RHC
TC015491,EOG725RHF
TC011208,EOG725RHG
TC010150,EOG725RHK
TC006028,EOG725RHN
TC011805,EOG725RHP
TC013770,EOG725RHQ
TC004560,EOG725RHS
TC007123,EOG725RHV
TC014183,EOG725RHW
TC008333,EOG725RJ1
TC016288,EOG725RJ1
TC001062,EOG725RJ7
TC010640,EOG725RJB
TC007289,EOG725RJK
TC010137,EOG725RJP
TC013671,EOG725RJQ
TC012832,EOG725RJX
TC004750,EOG725RJZ
TC012474,EOG725RJZ
TC014299,EOG725RK1
TC015504,EOG725RK8
TC015139,EOG728MQB
TC014995,EOG728MQD
TC002984,EOG728MQF
TC006276,EOG728MQG
TC014440,EOG728MQJ
TC012216,EOG728MQK
TC012508,EOG728MQM
TC003148,EOG728MQN
TC005005,EOG728MQP
TC014542,EOG728MQQ
TC007104,EOG728MQT
TC012799,EOG728MQT
TC008154,EOG728MQV
TC001744,EOG728MQX
TC010415,EOG728MR0
TC030255,EOG728MR2
TC030759,EOG728MR3
TC009882,EOG728MR6
TC001775,EOG728MR7
TC001726,EOG728MR8
TC006410,EOG728MR9
TC014224,EOG728MRD
TC006771,EOG728MRF
TC007407,EOG728MRG
TC013160,EOG728MRQ
TC012850,EOG728MRS
TC008846,EOG728MRT
TC004390,EOG728MRV
TC004243,EOG728MRW
TC007569,EOG728MRW
TC010882,EOG728MRZ
TC012877,EOG728MRZ
TC000929,EOG728MS6
TC011851,EOG728MS7
TC007504,EOG728MSN
TC008180,EOG728MSR
TC008181,EOG728MSR
TC001487,EOG72CGZ7
TC015281,EOG72CGZ7
TC010913,EOG72CGZ8
TC000192,EOG72CGZ9
TC014672,EOG72CGZD
TC010953,EOG72CGZF
TC008338,EOG72CGZJ
TC007350,EOG72CGZK
TC008909,EOG72CGZM
TC030740,EOG72CGZN
TC006775,EOG72CGZS
TC009985,EOG72CGZT
TC003523,EOG72CGZV
TC015316,EOG72CGZX
TC010919,EOG72CH01
TC000634,EOG72CH04
TC014886,EOG72CH09
TC004889,EOG72CH0C
TC015563,EOG72CH0G
TC003432,EOG72CH0J
TC014502,EOG72CH0K
TC004925,EOG72CH0N
TC005502,EOG72CH0S
TC012816,EOG72CH0V
TC013869,EOG72CH0Z
TC030669,EOG72CH11
TC007602,EOG72CH14
TC010147,EOG72CH15
TC001088,EOG72CH17
TC010456,EOG72CH1K
TC030773,EOG72CH1Z
TC003334,EOG72GC66
TC008819,EOG72GC67
TC000997,EOG72GC68
TC009707,EOG72GC69
TC002520,EOG72GC6B
TC003284,EOG72GC6B
TC003895,EOG72GC6B
TC011236,EOG72GC6B
TC011470,EOG72GC6B
TC013040,EOG72GC6B
TC013174,EOG72GC6B
TC013745,EOG72GC6B
TC013706,EOG72GC6C
TC014267,EOG72GC6F
TC014268,EOG72GC6F
TC001432,EOG72GC6M
TC010448,EOG72GC6P
TC004947,EOG72GC6Q
TC010831,EOG72GC6R
TC014017,EOG72GC6S
TC014018,EOG72GC6S
TC004234,EOG72GC6V
TC015184,EOG72GC6W
TC012597,EOG72GC6X
TC012600,EOG72GC6X
TC009423,EOG72GC6Z
TC016394,EOG72GC71
TC014755,EOG72GC73
TC015317,EOG72GC74
TC010464,EOG72GC79
TC002390,EOG72GC7C
TC011917,EOG72GC7G
TC015109,EOG72GC7H
TC004605,EOG72GC7M
TC000535,EOG72GC7N
TC000536,EOG72GC7N
TC000138,EOG72GC7R
TC005999,EOG72GC7V
TC004388,EOG72GC7X
TC000467,EOG72GC7Z
TC004546,EOG72GC87
TC005856,EOG72GC8T
TC000532,EOG72K7F5
TC000165,EOG72K7F7
TC014180,EOG72K7F8
TC007684,EOG72K7F9
TC008216,EOG72K7FC
TC001636,EOG72K7FD
